conta_contabil;orgao;uniorcam;saldo_anterior_debito;saldo_anterior_credito;movimentacao_debito;movimentacao_credito;saldo_atual_debito;saldo_atual_credito;especificacao;tipo_nivel;numero_nivel;obsoleto1;escrituracao;natureza_informacao;indicador_superavit_financeiro;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
1.0.0.0.0.00.00.00.00.00.00.000;01;0101;27.669,90;0,00;289.506,08;252.342,18;64.833,80;0,00;ATIVO;S;01;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.0.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;281.156,08;251.606,10;29.549,98;0,00;"ATIVO CIRCULANTE";S;02;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.0.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;281.156,08;251.606,10;29.549,98;0,00;"CAIXA E EQUIVALENTES DE CAIXA";S;03;F;N;P;F;1092;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.0.00.00.00.00.00.00.000;01;0101;0,00;0,00;281.156,08;251.606,10;29.549,98;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL";S;04;F;N;P;F;1092;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.00.00.00.00.00.00.000;01;0101;0,00;0,00;281.156,08;251.606,10;29.549,98;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDACAO";S;05;F;N;P;F;1092;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.00.00.00.00.00.000;01;0101;0,00;0,00;281.156,08;251.606,10;29.549,98;0,00;"BANCO CONTA MOVIMENTO - DEMAIS CONTAS";S;06;F;N;P;F;1092;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.12.00.00.00.00.000;01;0101;0,00;0,00;188.690,67;159.140,69;29.549,98;0,00;"BANCO DO ESTADO DO RIO GRANDE DO SUL";S;07;F;N;P;F;1092;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.12.14.00.00.00.000;01;0101;0,00;0,00;178.103,71;150.238,82;27.864,89;0,00;"Banrisul -C. Vereadores -04012289.0-3";A;08;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.12.29.00.00.00.000;01;0101;0,00;0,00;10.586,96;8.901,87;1.685,09;0,00;"Banrisul Retencao Folha Camara";A;08;F;S;P;F;8001;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.99.01.00.00.00.000;01;0101;0,00;0,00;92.465,41;92.465,41;0,00;0,00;SICREDI;S;08;F;N;P;F;8001;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.1.1.1.1.19.99.01.06.00.00.000;01;0101;0,00;0,00;92.465,41;92.465,41;0,00;0,00;"B. Sicredi - Folha Pagto Camara";A;09;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.0.0.0.00.00.00.00.00.00.000;01;0101;27.669,90;0,00;8.350,00;736,08;35.283,82;0,00;"ATIVO NAO CIRCULANTE";S;02;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.0.0.00.00.00.00.00.00.000;01;0101;27.669,90;0,00;8.350,00;736,08;35.283,82;0,00;IMOBILIZADO;S;03;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.0.00.00.00.00.00.00.000;01;0101;35.822,04;0,00;8.350,00;0,00;44.172,04;0,00;"BENS MOVEIS";S;04;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.00.00.00.00.00.00.000;01;0101;35.822,04;0,00;8.350,00;0,00;44.172,04;0,00;"BENS MOVEIS- CONSOLIDACAO";S;05;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.01.00.00.00.00.00.000;01;0101;2.000,00;0,00;0,00;0,00;2.000,00;0,00;"MAQUINAS, APARELHOS, EQUIPAMENTOS E FERRAMENTAS";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.01.40.00.00.00.00.000;01;0101;2.000,00;0,00;0,00;0,00;2.000,00;0,00;"PECAS NAO INCORPORAVEIS A IMOVEIS";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.02.00.00.00.00.00.000;01;0101;1.803,00;0,00;0,00;0,00;1.803,00;0,00;"BENS DE INFORMATICA";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.02.01.00.00.00.00.000;01;0101;1.803,00;0,00;0,00;0,00;1.803,00;0,00;"EQUIPAMENTOS DE PROCESSAMENTO DE DADOS";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.03.00.00.00.00.00.000;01;0101;9.593,77;0,00;0,00;0,00;9.593,77;0,00;"MOVEIS E UTENSILIOS";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.03.01.00.00.00.00.000;01;0101;1.286,27;0,00;0,00;0,00;1.286,27;0,00;"APARELHOS E UTENSILIOS DOMESTICOS";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.03.03.00.00.00.00.000;01;0101;8.307,50;0,00;0,00;0,00;8.307,50;0,00;"MOBILIARIO EM GERAL";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.04.00.00.00.00.00.000;01;0101;22.425,27;0,00;8.350,00;0,00;30.775,27;0,00;"MATERIAIS CULTURAIS, EDUCACIONAIS E DE COMUNICACAO";S;06;P;N;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.04.01.00.00.00.00.000;01;0101;1.879,48;0,00;0,00;0,00;1.879,48;0,00;"BANDEIRAS, FLAMULAS E INSIGNIAS";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.04.05.00.00.00.00.000;01;0101;7.796,70;0,00;8.350,00;0,00;16.146,70;0,00;"EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
1.2.3.1.1.04.06.00.00.00.00.000;01;0101;12.749,09;0,00;0,00;0,00;12.749,09;0,00;"OBRAS DE ARTE E PECAS PARA EXPOSICAO";A;07;P;S;P;P;0000;0000;0000;0000;2022-01-01;2022-05-31;2022-06-09;29363995000137;"CAMARA DE VERADORES DE NOVA CANDELARIA";"input/cm\BAL_VER.TXT"
