conta_contabil;orgao;uniorcam;saldo_anterior_debito;saldo_anterior_credito;movimentacao_debito;movimentacao_credito;saldo_atual_debito;saldo_atual_credito;especificacao;tipo_nivel;numero_nivel;obsoleto1;escrituracao;natureza_informacao;indicador_superavit_financeiro;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
1.0.0.0.0.00.00.00.00.00.00.000;02;0201;84.883.592,43;0,00;65.288.753,61;61.768.487,43;88.403.858,61;0,00;ATIVO;S;01;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.0.0.0.00.00.00.00.00.00.000;02;0201;35.449.581,20;0,00;62.455.367,15;59.044.364,26;38.860.584,09;0,00;"ATIVO CIRCULANTE";S;02;F;N;P;F;0000;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.0.0.00.00.00.00.00.00.000;02;0201;8.112.802,55;0,00;32.373.536,57;30.770.941,41;9.715.397,71;0,00;"CAIXA E EQUIVALENTES DE CAIXA";S;03;F;N;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.0.00.00.00.00.00.00.000;02;0201;8.112.802,55;0,00;32.373.536,57;30.770.941,41;9.715.397,71;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL";S;04;F;N;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.00.00.00.00.00.00.000;02;0201;8.112.802,55;0,00;32.373.536,57;30.770.941,41;9.715.397,71;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDACAO";S;05;F;N;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.01.00.00.00.00.00.000;02;0201;5.448,84;0,00;2.422.017,39;2.423.994,15;3.472,08;0,00;CAIXA;A;06;F;S;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.00.00.00.00.00.000;02;0201;9.721,45;0,00;1.098.422,51;1.104.154,00;3.989,96;0,00;"CONTA UNICA  - RPPS";S;06;F;N;P;F;0001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.01.02.01.00.00.000;10;1001;8.249,91;0,00;0,00;8.249,91;0,00;0,00;"Banrisul - RPPS mov 04.013.779.0-9(0050)";A;09;F;S;P;F;0050;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.01.02.02.00.00.000;10;1001;1.471,54;0,00;4.888,62;6.360,16;0,00;0,00;"BANRISUL - RPPS  Ret Folha";A;09;F;S;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
1.1.1.1.1.06.03.00.00.00.00.000;02;0201;0,00;0,00;1.049.195,99;1.045.861,42;3.334,57;0,00;"BANCOS CONTA MOVIMENTO - FUNDO EM CAPITALIZACAO";S;07;F;N;P;F;8001;0000;0000;0000;2022-01-01;2022-04-30;2022-05-11;01602258000120;"MUNICIPIO DE NOVA CANDELARIA";"Z:/Abase/ARQUIVOSPAD\2022\MES05\BAL_VER.txt"
